"","time","Ta_min (Deg C)","Ta_max (Deg C)","Ta_mean (Deg C)","Ta_daytime_mean (Deg C)","Ta_nighttime_mean(Deg C)","P_F","SW_IN_POT","SW_IN_F","SW_IN_F_QC","CLOUD","VPD_F","SWC_F_MDS_1","H_F_MDS","H_CORR","LE_F_MDS","
              LE_CORR","EF","NEE_VUT_REF","NEE_VUT_REF_QC","NEE_VUT_25","NEE_VUT_50","NEE_VUT_75","RECO_NT_VUT_REF","RECO_NT_VUT_25","RECO_NT_VUT_50","RECO_NT_VUT_75","GPP_NT_VUT_REF","GPP_NT_VUT_25","GPP_NT_VUT_50","GPP_NT_VUT_75","GPP_DT_VUT_REF","GPP_DT_VUT_25","GPP_DT_VUT_50","GPP_DT_VUT_75"
"1",1991001,-12.516,5.659,-2.133052,0.09003646,-4.450339,1.18475,145.1419,58.49038,0.583333,0.4037928,2.441375,0,20.05906,NA,10.91776,NA,0.5,0.7049641,0,0.7049641,0.7049641,0.7049641,1.21981,1.206731,1.220292,1.229288,0.4980454,0.5009801,0.515031,0.5243243,0.3443843,0.3391659,0.3415505,0.3673988
"2",1991009,-9.628,5.606,-2.076333,0.4815208,-4.212917,0.950375,153.401,65.70888,0.583333,0.4285241,2.454125,0,19.06232,NA,10.90664,NA,0.5,0.6975712,0,0.6975712,0.6975712,0.6975712,1.222743,1.2095,1.22293,1.232346,0.5081178,0.5110748,0.5253589,0.534776,0.3859691,0.3802584,0.3828635,0.4102139
"3",1991017,-15.015,3.803,-2.916281,-1.132828,-4.862891,2.7975,165.2229,65.046,0.583333,0.3903858,2.19125,0,17.36467,NA,11.2209,NA,0.5,0.6977726,0,0.6977726,0.6977726,0.6977726,1.180333,1.165764,1.180908,1.190919,0.4638058,0.4670761,0.482766,0.4931464,0.3813993,0.3758571,0.378382,0.4042359
"4",1991025,-8.401,6.114,0.7546927,2.659909,-1.044716,3.925625,180.3365,77.12225,0.583333,0.4254033,2.3465,0,20.05906,NA,10.91776,NA,0.5,0.7049641,0,0.7049641,0.7049641,0.7049641,1.366906,1.35906,1.367016,1.372529,0.6518754,0.6535749,0.6620525,0.6675655,0.4519694,0.4454389,0.4484126,0.4785969
"5",1991033,-8.296,5.857,0.2625156,2.175945,-1.662617,1.89825,198.3676,81.27312,0.5520834,0.4108889,2.41875,0,19.06232,NA,10.90664,NA,0.5,0.6975712,0,0.6975712,0.6975712,0.6975712,1.342085,1.333179,1.342214,1.348509,0.6330304,0.6349008,0.6446422,0.6509371,0.4762382,0.4693661,0.472495,0.504176
"6",1991041,-18.097,2.769,-4.903281,-2.925828,-7.256953,1.2665,218.8469,111.4954,0.5,0.5077536,2.173375,0,17.36467,NA,11.2209,NA,0.5,0.6977726,0,0.6977726,0.6977726,0.6977726,1.078766,1.061015,1.080095,1.091717,0.3581568,0.3623106,0.3812443,0.3939435,0.648335,0.6397271,0.6436203,0.6781156
"7",1991049,-17.068,11.757,0.5499583,3.646354,-2.714333,1.7225,241.2334,115.1239,0.5,0.4816211,2.928125,0,20.05906,NA,10.91776,NA,0.5,0.7049641,0,0.7049641,0.7049641,0.7049641,1.354442,1.34759,1.354706,1.359405,0.6407389,0.642266,0.6495751,0.6544408,0.6680461,0.6593828,0.6632929,0.6965299
"8",1991057,-7.127,11.804,1.122495,3.343685,-1.02494,2.046375,264.9459,119.7813,0.5,0.4540037,2.579375,0,19.06232,NA,10.90664,NA,0.5,0.6975712,0,0.6975712,0.6975712,0.6975712,1.384268,1.377415,1.384365,1.38919,0.6779109,0.6793402,0.6867935,0.6916175,0.6953447,0.6862864,0.6903763,0.7254286
"9",1991065,-4.579,8.302,0.7566927,2.713909,-0.8639036,2.29775,289.3965,132.9208,0.5,0.4594397,2.61675,0,17.36467,NA,11.2209,NA,0.5,0.6977726,0,0.6977726,0.6977726,0.6977726,1.367253,1.359205,1.367365,1.372998,0.659173,0.6608534,0.6695923,0.6752261,0.7700457,0.7602505,0.7646475,0.800796
"10",1991073,-2.028,13.493,4.404802,6.551214,2.497026,3.365625,314.0216,120.5853,0.4895833,0.3843287,3.20075,0,20.05906,NA,10.91776,NA,0.5,0.7049641,0,0.7049641,0.7049641,0.7049641,1.548654,1.544456,1.548167,1.551604,0.8441236,0.8394054,0.8431507,0.8465834,0.6981895,0.6893621,0.693229,0.7256336
"11",1991081,-1.974,16.737,5.845464,8.656982,3.253669,0.854625,338.3018,183.0747,0.4375,0.541555,3.50075,0,19.06232,NA,10.90664,NA,0.5,0.6975712,0,0.6975712,0.6975712,0.6975712,1.617671,1.611744,1.616448,1.622641,0.9252662,0.9131008,0.918748,0.9249316,1.052503,1.040319,1.044996,1.081657
"12",1991089,1.625,17.375,9.734964,12.40329,7.136482,1.38675,361.7756,172.9326,0.416667,0.4780249,3.42,0,17.36467,NA,11.2209,NA,0.5,0.6977726,0,0.6977726,0.6977726,0.6977726,1.805413,1.791173,1.801714,1.819155,1.125377,1.088474,1.103555,1.120966,0.996379,0.9845173,0.9893971,1.027492
"13",1991097,3.657,13.43,7.663818,9.289096,6.232784,6.159125,384.0435,128.8964,0.416667,0.3359465,2.461,0,20.05906,NA,10.91776,NA,0.5,0.7049641,0,0.7049641,0.7049641,0.7049641,1.70875,1.698259,1.706534,1.71695,1.01436,0.9922504,1.00134,1.011738,0.7484831,0.738697,0.742981,0.7812999
"14",1991105,-0.025,18.07,8.254755,10.63325,5.41069,1.42425,404.7644,215.9361,0.416667,0.5332619,3.66075,0,19.06232,NA,10.90664,NA,0.5,0.6975712,0,0.6975712,0.6975712,0.6975712,1.733518,1.723467,1.730809,1.743573,1.048923,1.02192,1.033025,1.045694,1.236224,1.222682,1.227157,1.262503
"15",1991113,5.61,16.063,10.92065,12.57801,8.817201,8.50675,423.6505,147.5224,0.3802084,0.3483802,2.97275,0,17.36467,NA,11.2209,NA,0.5,0.6977726,0,0.6977726,0.6977726,0.6977726,1.862544,1.846969,1.858031,1.879319,1.186426,1.141395,1.159921,1.181039,0.8545965,0.8437244,0.8484694,0.8888985
"16",1991121,-0.587,18.646,9.119453,11.4146,6.506039,1.283,440.4589,213.076,0.375,0.4830101,3.907125,0,20.05906,NA,10.91776,NA,0.5,0.7049641,0,0.7049641,0.7049641,0.7049641,1.774603,1.762311,1.771224,1.787368,1.085532,1.051841,1.066024,1.082023,1.219382,1.20608,1.210781,1.243968
"17",1991129,5.385,20.808,12.52795,14.46154,10.34616,10.25788,454.9848,140.9405,0.375,0.3098091,3.142375,0,19.06232,NA,10.90664,NA,0.5,0.6975712,0,0.6975712,0.6975712,0.6975712,1.93609,1.918636,1.930404,1.957253,1.265849,1.210246,1.232621,1.259041,0.8164644,0.8060706,0.8102925,0.8494566
"18",1991137,5.299,17.02,11.68505,13.2574,9.984964,12.02413,467.0562,137.3067,0.3385414,0.2936929,2.6255,0,17.36467,NA,11.2209,NA,0.5,0.6977726,0,0.6977726,0.6977726,0.6977726,1.898073,1.88161,1.893013,1.916901,1.224609,1.174099,1.19491,1.21856,0.796799,0.7864509,0.7908612,0.831185
