Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
01/01/2016,232,1714,38,139,1967,940,525,1073741824,6558,4658,11520,200,5,01/01/2016,0.0232,0.1714,0.0038,0.0139,0.1967,0.094,0.0525,0.761562178828,0.288979018797,0.291635267521,0.531040643144,-0.742354031511,-0.0687313230101,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.761562178828,0.288979018797,0.291635267521,0.531040643144,-0.742354031511,-0.0687313230101
01/09/2016,148,475,44,157,482,300,124,1073741824,6645,808,-6276,8206,11,01/09/2016,0.0148,0.0475,0.0044,0.0157,0.0482,0.03,0.0124,0.524879614767,0.0740958941358,0.225806451613,0.585976627713,-0.312910284464,-0.0073145245559,0010000000001110,mixed,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.69507273877,0.291846243202,0.291616645292,0.561621052685,-0.629822040455,-0.034875345501
01/17/2016,447,1960,241,342,1964,1075,502,1073741824,6308,4667,11660,200,21,01/17/2016,0.0447,0.196,0.0241,0.0342,0.1964,0.1075,0.0502,0.628583298712,0.294713467607,0.291598023064,0.592201462226,-0.5172900494,-0.00101936799185,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.628583298712,0.294713467607,0.291598023064,0.592201462226,-0.5172900494,-0.00101936799185
01/25/2016,148,475,44,157,482,300,124,1073741824,6645,808,-6276,8206,11,01/25/2016,0.0148,0.0475,0.0044,0.0157,0.0482,0.03,0.0124,0.524879614767,0.0740958941358,0.225806451613,0.585976627713,-0.312910284464,-0.0073145245559,0010000000001110,mixed,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.618176361136,0.318137395095,0.164287595084,0.479820422027,-0.571123715461,-0.0421316918559
02/02/2016,626,2566,283,550,3032,2383,1187,1073741824,6495,5516,-5506,72,33,02/02/2016,0.0626,0.2566,0.0283,0.055,0.3032,0.2383,0.1187,0.607769423559,0.341561322582,0.0369771671045,0.367439381828,-0.624957381521,-0.0832440157199,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.607769423559,0.341561322582,0.0369771671045,0.367439381828,-0.624957381521,-0.0832440157199
02/10/2016,445,948,427,450,885,516,354,1073741824,5624,2384,12002,8205,48,02/10/2016,0.0445,0.0948,0.0427,0.045,0.0885,0.0516,0.0354,0.361091170136,0.120733522154,0.295081967213,0.456221198157,-0.0683229813665,0.0343698854337,0010000000001101,cloudy,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,NA,0.361091170136,0.120733522154,0.295081967213,0.456221198157,-0.0683229813665,0.0343698854337
02/18/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/26/2016,1369,2218,1238,1408,2669,1532,787,1073741824,5350,844,-5450,1290,59,02/26/2016,0.1369,0.2218,0.1238,0.1408,0.2669,0.1532,0.0787,0.236688040145,0.190409975778,0.182933333333,0.476206322795,-0.0421768707483,-0.0922856558216,0000010100001010,mixed,no,land,climatology,small,cloud,no fire,no,no,no,no,Yes,NA,0.236688040145,0.190409975778,0.182933333333,0.476206322795,-0.0421768707483,-0.0922856558216
03/05/2016,440,1875,198,407,2284,1740,913,1073741824,5038,240,12610,72,66,03/05/2016,0.044,0.1875,0.0198,0.0407,0.2284,0.174,0.0913,0.619870410367,0.275326170376,0.0373443983402,0.345050215208,-0.620866325105,-0.0983409473431,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.619870410367,0.275326170376,0.0373443983402,0.345050215208,-0.620866325105,-0.0983409473431
03/13/2016,490,1812,259,454,2134,1653,805,1073741824,4720,1316,12355,72,73,03/13/2016,0.049,0.1812,0.0259,0.0454,0.2134,0.1653,0.0805,0.574283231972,0.258011631992,0.0458874458874,0.384791746274,-0.569055529188,-0.0816016218956,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.574283231972,0.258011631992,0.0458874458874,0.384791746274,-0.569055529188,-0.0816016218956
