Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
01/01/2016,1050,1761,468,718,2605,2200,1498,1073741824,6011,2695,-5788,72,4,01/01/2016,0.105,0.1761,0.0468,0.0718,0.2605,0.22,0.1498,0.252934898613,0.122156552814,-0.110830598334,0.0806996011046,-0.507882111035,-0.193311956024,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.252934898613,0.122156552814,-0.110830598334,0.0806996011046,-0.507882111035,-0.193311956024
01/09/2016,989,1628,386,645,2425,2160,1494,1073741824,5900,1569,-5632,72,11,01/09/2016,0.0989,0.1628,0.0386,0.0645,0.2425,0.216,0.1494,0.244172716851,0.108917979137,-0.140443505808,0.0429212043562,-0.540106951872,-0.196644460893,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.244172716851,0.108917979137,-0.140443505808,0.0429212043562,-0.540106951872,-0.196644460893
01/17/2016,1686,2723,669,1069,4037,4055,3728,1075838976,5904,4457,-5391,74,22,01/17/2016,0.1686,0.2723,0.0669,0.1069,0.4037,0.4055,0.3728,0.235200725788,0.145470358836,-0.196518146946,-0.155789800031,-0.58274785324,-0.194378698225,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.244172716851,0.108917979137,-0.140443505808,0.0429212043562,-0.540106951872,-0.196644460893
01/25/2016,989,1628,386,645,2425,2160,1494,1073741824,5900,1569,-5632,72,11,01/25/2016,0.0989,0.1628,0.0386,0.0645,0.2425,0.216,0.1494,0.244172716851,0.108917979137,-0.140443505808,0.0429212043562,-0.540106951872,-0.196644460893,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.244172716851,0.108917979137,-0.140443505808,0.0429212043562,-0.540106951872,-0.196644460893
02/02/2016,1428,2250,454,878,3349,3345,3247,1073741824,5405,329,-5256,74,34,02/02/2016,0.1428,0.225,0.0454,0.0878,0.3349,0.3345,0.3247,0.223491027732,0.118015275943,-0.195710455764,-0.181371657268,-0.584181861236,-0.196285050902,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.23225126786,0.112885279248,-0.168691776031,-0.0683249303554,-0.564386415724,-0.192021600383
02/10/2016,1442,2257,463,871,3298,3364,3245,1073741824,5154,918,12194,72,41,02/10/2016,0.1442,0.2257,0.0463,0.0871,0.3298,0.3364,0.3245,0.22032981887,0.116852579359,-0.196940046255,-0.179571065067,-0.588665879575,-0.187398739874,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.22032981887,0.116852579359,-0.196940046255,-0.179571065067,-0.588665879575,-0.187398739874
02/18/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/26/2016,1835,2836,577,1102,3785,4292,3798,1073741824,4672,1604,-4957,72,59,02/26/2016,0.1835,0.2836,0.0577,0.1102,0.3785,0.4292,0.3798,0.214301006209,0.128211696596,-0.204264870932,-0.145010551703,-0.591397849462,-0.143331822987,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.214301006209,0.128211696596,-0.204264870932,-0.145010551703,-0.591397849462,-0.143331822987
03/05/2016,1829,2705,1185,1447,3274,3346,2435,1073741824,3982,3068,12690,1545,71,03/05/2016,0.1829,0.2705,0.1185,0.1447,0.3274,0.3346,0.2435,0.193206881341,0.148058006287,-0.105932903652,0.0525291828794,-0.396202795744,-0.0951664157886,0000011000001001,cloudy,no,land,climatology,average,cloud,no fire,no,no,no,no,Yes,Yes,0.223185277314,0.131164212102,-0.169098994624,-0.114598257363,-0.566527450002,-0.164483150121
03/13/2016,1590,2551,557,993,3714,3340,3020,1073741824,4018,838,12517,72,73,03/13/2016,0.159,0.2551,0.0557,0.0993,0.3714,0.334,0.302,0.232069548418,0.134116727608,-0.133933118316,-0.0841859630228,-0.541657050542,-0.185634477255,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.232069548418,0.134116727608,-0.133933118316,-0.0841859630228,-0.541657050542,-0.185634477255
