Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
03/21/2000,570,2583,273,631,2780,2012,1033,1073741824,3503,1244,12183,136,86,03/21/2000,0.057,0.2583,0.0273,0.0631,0.278,0.2012,0.1033,0.638439581351,0.360610511985,0.124265505985,0.428650442478,-0.522512296633,-0.0367331717322,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.638439581351,0.360610511985,0.124265505985,0.428650442478,-0.522512296633,-0.0367331717322
03/29/2000,859,2321,436,784,2839,2483,1601,1073741824,3201,65,10251,72,95,03/29/2000,0.0859,0.2321,0.0436,0.0784,0.2839,0.2483,0.1601,0.459748427673,0.257303766279,-0.033721898418,0.183579806221,-0.520048974594,-0.100387596899,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.459748427673,0.257303766279,-0.033721898418,0.183579806221,-0.520048974594,-0.100387596899
04/06/2000,960,2791,431,863,3349,2898,1917,1073741824,3246,2308,-4865,136,97,04/06/2000,0.096,0.2791,0.0431,0.0863,0.3349,0.2898,0.1917,0.488136496934,0.298821686196,-0.0188082264018,0.185641461342,-0.541079500133,-0.0908794788274,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.488136496934,0.298821686196,-0.0188082264018,0.185641461342,-0.541079500133,-0.0908794788274
04/14/2000,1006,2446,483,856,3031,2729,1892,1073741824,2625,77,10149,72,111,04/14/2000,0.1006,0.2446,0.0483,0.0856,0.3031,0.2729,0.1892,0.417149478563,0.242269255359,-0.0546859903382,0.127708621485,-0.522454672245,-0.106810297608,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.417149478563,0.242269255359,-0.0546859903382,0.127708621485,-0.522454672245,-0.106810297608
04/22/2000,977,2884,474,906,3264,2743,1732,1073741824,2780,4134,-4212,136,115,04/22/2000,0.0977,0.2884,0.0474,0.0906,0.3264,0.2743,0.1732,0.493913493913,0.313837140412,0.0250577572419,0.249566724437,-0.503425596054,-0.0618087182824,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.493913493913,0.313837140412,0.0250577572419,0.249566724437,-0.503425596054,-0.0618087182824
04/30/2000,709,2761,373,751,2820,2133,1268,1073741824,1852,5918,10979,136,128,04/30/2000,0.0709,0.2761,0.0373,0.0751,0.282,0.2133,0.1268,0.591354466859,0.360822929488,0.128320392317,0.37056341524,-0.47919556172,-0.0105715821537,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.591354466859,0.360822929488,0.128320392317,0.37056341524,-0.47919556172,-0.0105715821537
05/08/2000,1059,2931,534,957,3342,2456,2272,1073741824,1860,3339,12440,136,132,05/08/2000,0.1059,0.2931,0.0534,0.0957,0.3342,0.2456,0.2272,0.469172932331,0.306282722513,0.0881752366809,0.126657697482,-0.439203047173,-0.065518890483,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.469172932331,0.306282722513,0.0881752366809,0.126657697482,-0.439203047173,-0.065518890483
05/16/2000,1530,2763,758,1142,3660,3839,3301,1073741824,1834,23,-2055,72,143,05/16/2000,0.153,0.2763,0.0758,0.1142,0.366,0.3839,0.3301,0.287211740042,0.189598966663,-0.162980914874,-0.0887203166227,-0.541457538647,-0.139654367118,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.287211740042,0.189598966663,-0.162980914874,-0.0887203166227,-0.541457538647,-0.139654367118
05/24/2000,1760,3263,970,1418,4037,4474,3757,1073741824,1809,1195,-3548,72,152,05/24/2000,0.176,0.3263,0.097,0.1418,0.4037,0.4474,0.3757,0.299223571571,0.227066715011,-0.156520615226,-0.0703703703704,-0.518669382213,-0.10602739726,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.299223571571,0.227066715011,-0.156520615226,-0.0703703703704,-0.518669382213,-0.10602739726
06/25/2000,852,2632,359,772,3051,2657,1537,1073741824,1636,1272,14293,8200,182,06/25/2000,0.0852,0.2632,0.0359,0.0772,0.3051,0.2657,0.1537,0.510907003444,0.295651596186,-0.00472679145396,0.262652914368,-0.549722951298,-0.0737286644378,0010000000001000,clear,no,land,climatology,none,no cloud,no fire,no,yes,no,no,No,No,0.510907003444,0.295651596186,-0.00472679145396,0.262652914368,-0.549722951298,-0.0737286644378
07/03/2000,1167,3790,613,1166,4206,3269,2316,1073741824,1813,94,12480,136,191,07/03/2000,0.1167,0.379,0.0613,0.1166,0.4206,0.3269,0.2316,0.529150695985,0.40492142394,0.0738064881711,0.241401899771,-0.474182638106,-0.0520260130065,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.529150695985,0.40492142394,0.0738064881711,0.241401899771,-0.474182638106,-0.0520260130065
07/11/2000,1337,3895,726,1261,4391,4114,2914,1073741824,2029,2280,-2895,74,193,07/11/2000,0.1337,0.3895,0.0726,0.1261,0.4391,0.4114,0.2914,0.488914373089,0.388234579893,-0.0273442377326,0.14407401968,-0.530790697674,-0.0598600048274,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.460554656716,0.336848509848,-0.0175149404694,0.157808552861,-0.509694633507,-0.0931378968222
07/19/2000,1293,2960,695,1084,3878,3683,2551,1073741824,2059,27,6575,136,207,07/19/2000,0.1293,0.296,0.0695,0.1084,0.3878,0.3683,0.2551,0.391958617447,0.268775595756,-0.10883636911,0.0742152059517,-0.545206628907,-0.134249780638,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.391958617447,0.268775595756,-0.10883636911,0.0742152059517,-0.545206628907,-0.134249780638
