Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
01/01/2016,567,2783,333,686,1449,490,133,1073741824,6630,909,-5842,32968,2,01/01/2016,0.0567,0.2783,0.0333,0.0686,0.1449,0.049,0.0133,0.661492537313,0.404748858447,0.70058050718,0.90877914952,0.166666666667,0.315217391304,1000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,yes,No,No,0.661492537313,0.404748858447,0.70058050718,0.90877914952,0.166666666667,0.315217391304
01/09/2016,53,1277,489,98,875,290,61,1073741824,6360,5700,11393,8204,10,01/09/2016,0.0053,0.1277,0.0489,0.0098,0.0875,0.029,0.0061,0.92030075188,0.385998107852,0.62986598596,0.908819133034,-0.494845360825,0.186802973978,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.709128034304,0.376470397106,0.667193335523,0.893738208294,0.0147569444448,0.266532401926
01/17/2016,381,2204,221,479,1402,498,105,1073741824,6438,890,-5783,32908,18,01/17/2016,0.0381,0.2204,0.0221,0.0479,0.1402,0.0498,0.0105,0.705222437137,0.355152932009,0.631384159882,0.909051537462,-0.0194472876151,0.222407099279,1000000010001100,clear,yes,land,average,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.756763531295,0.348191935765,0.633806163867,0.878697267067,-0.137152777777,0.217847412548
01/25/2016,53,1277,489,98,875,290,61,1073741824,6360,5700,11393,8204,10,01/25/2016,0.0053,0.1277,0.0489,0.0098,0.0875,0.029,0.0061,0.92030075188,0.385998107852,0.62986598596,0.908819133034,-0.494845360825,0.186802973978,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.804399028286,0.319913474424,0.60041899221,0.863656325841,-0.2890625,0.169162423171
02/02/2016,120,1502,50,161,1179,415,123,1073741824,5814,2364,12026,72,39,02/02/2016,0.012,0.1502,0.005,0.0161,0.1179,0.0415,0.0123,0.852034525277,0.291635013083,0.567031820553,0.848615384615,-0.440972222222,0.120477433793,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.852034525277,0.291635013083,0.567031820553,0.848615384615,-0.440972222222,0.120477433793
02/10/2016,1256,2212,1373,1357,2294,1208,728,1073741824,5555,3254,12082,1801,46,02/10/2016,0.1256,0.2212,0.1373,0.1357,0.2294,0.1208,0.0728,0.275663206459,0.252896672134,0.293567251462,0.504761904762,0.058089668616,-0.0181979582779,0000011100001001,cloudy,no,land,climatology,high,cloud,no fire,no,no,no,no,Yes,NA,0.275663206459,0.252896672134,0.293567251462,0.504761904762,0.058089668616,-0.0181979582779
02/18/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/26/2016,248,2739,100,383,2598,982,299,1073741824,5388,5129,-5072,72,63,02/26/2016,0.0248,0.2739,0.01,0.0383,0.2598,0.0982,0.0299,0.833947104118,0.462083549751,0.472184896533,0.803159973667,-0.438827838828,0.026419336706,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.833947104118,0.462083549751,0.472184896533,0.803159973667,-0.438827838828,0.026419336706
03/05/2016,2075,3176,2449,2228,2938,1895,1232,1073741824,4693,5203,11865,1033,67,03/05/2016,0.2075,0.3176,0.2449,0.2228,0.2938,0.1895,0.1232,0.209674347743,0.379210580698,0.252612896865,0.441016333938,0.0807664322096,0.038927052666,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,Yes,0.804765293531,0.469988638698,0.484390052302,0.806429026175,-0.369153502748,0.074609857568
03/13/2016,375,2967,221,538,2318,998,312,1073741824,4725,3829,-5023,72,77,03/13/2016,0.0375,0.2967,0.0221,0.0538,0.2318,0.0998,0.0312,0.775583482944,0.477893727645,0.496595208071,0.809698078683,-0.299479166667,0.12280037843,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.775583482944,0.477893727645,0.496595208071,0.809698078683,-0.299479166667,0.12280037843
