Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
01/01/2016,88,1821,46,154,1652,636,161,1073741824,6595,2429,11593,136,7,01/01/2016,0.0088,0.1821,0.0046,0.0154,0.1652,0.0636,0.0161,0.907805133578,0.360921359547,0.482295482295,0.837537840565,-0.610126582278,0.0486610999136,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.907805133578,0.360921359547,0.482295482295,0.837537840565,-0.610126582278,0.0486610999136
01/09/2016,245,2648,103,388,2201,1004,317,1073741824,6676,1815,-6045,72,11,01/09/2016,0.0245,0.2648,0.0103,0.0388,0.2201,0.1004,0.0317,0.830625648116,0.45015173654,0.450164293538,0.786172006745,-0.442528735632,0.0921839554547,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.830625648116,0.45015173654,0.450164293538,0.786172006745,-0.442528735632,0.0921839554547
01/17/2016,141,2590,5,158,2206,1063,462,1073741824,6323,4070,11681,8200,21,01/17/2016,0.0141,0.259,0.0005,0.0158,0.2206,0.1063,0.0462,0.896741120469,0.456954136657,0.41801259239,0.697247706422,-0.741195741196,0.0800667222686,0010000000001000,clear,no,land,climatology,none,no cloud,no fire,no,yes,no,no,No,No,0.896741120469,0.456954136657,0.41801259239,0.697247706422,-0.741195741196,0.0800667222686
01/25/2016,245,2648,103,388,2201,1004,317,1073741824,6676,1815,-6045,72,11,01/25/2016,0.0245,0.2648,0.0103,0.0388,0.2201,0.1004,0.0317,0.830625648116,0.45015173654,0.450164293538,0.786172006745,-0.442528735632,0.0921839554547,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.830625648116,0.45015173654,0.450164293538,0.786172006745,-0.442528735632,0.0921839554547
02/02/2016,161,1956,89,248,1779,847,321,1073741824,5910,2438,11991,72,39,02/02/2016,0.0161,0.1956,0.0089,0.0248,0.1779,0.0847,0.0321,0.847897968824,0.366192011098,0.395647520514,0.718050065876,-0.54703196347,0.0473895582329,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.847897968824,0.366192011098,0.395647520514,0.718050065876,-0.54703196347,0.0473895582329
02/10/2016,1624,3204,1506,1716,3365,2204,1620,1073741824,5942,1806,-5561,1802,43,02/10/2016,0.1624,0.3204,0.1506,0.1716,0.3365,0.2204,0.162,0.327257663629,0.338968505964,0.184911242604,0.328358208955,-0.124489795918,-0.0245090576952,0000011100001010,mixed,no,land,climatology,high,cloud,no fire,no,no,no,no,Yes,NA,0.327257663629,0.338968505964,0.184911242604,0.328358208955,-0.124489795918,-0.0245090576952
02/18/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/26/2016,247,2802,55,381,2975,1238,443,1073741824,5462,5006,-5162,76,63,02/26/2016,0.0247,0.2802,0.0055,0.0381,0.2975,0.1238,0.0443,0.837979665464,0.460476516599,0.387128712871,0.726964560863,-0.529339098209,-0.0299463389302,0000000001001100,clear,yes,land,low,none,no cloud,no fire,no,no,no,no,Yes,NA,0.837979665464,0.460476516599,0.387128712871,0.726964560863,-0.529339098209,-0.0299463389302
03/05/2016,138,1333,176,135,1423,831,442,1073741824,4794,5213,11813,8204,67,03/05/2016,0.0138,0.1333,0.0176,0.0135,0.1423,0.0831,0.0442,0.81237253569,0.275574209021,0.231977818854,0.501971830986,-0.72049689441,-0.0326560232221,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,NA,0.81237253569,0.275574209021,0.231977818854,0.501971830986,-0.72049689441,-0.0326560232221
03/13/2016,271,2413,124,384,2212,1129,431,1073741824,4802,3686,-5125,72,77,03/13/2016,0.0271,0.2413,0.0124,0.0384,0.2212,0.1129,0.0431,0.798062593145,0.408497978488,0.362507058159,0.696905766526,-0.492399206874,0.0434594594595,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.798062593145,0.408497978488,0.362507058159,0.696905766526,-0.492399206874,0.0434594594595
