Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
01/01/2016,5985,6216,5990,5911,4147,1280,735,1073741824,7011,3086,11469,37000,3,01/01/2016,0.5985,0.6216,0.599,0.5911,0.4147,0.128,0.0735,0.0189328743546,0.0801971948341,0.65848452508,0.788519637462,0.643999443749,0.199652610248,1001000010001000,clear,no,land,average,none,no cloud,no fire,yes,no,no,yes,No,No,0.0189328743546,0.0801971948341,0.65848452508,0.788519637462,0.643999443749,0.199652610248
01/09/2016,6014,6316,5688,6034,5061,2156,1127,1073741824,7107,2613,-6216,32841,9,01/09/2016,0.6014,0.6316,0.5688,0.6034,0.5061,0.2156,0.1127,0.0244931062449,0.0775154004107,0.491029272899,0.697165121591,0.473504273504,0.110310275116,1000000001001001,cloudy,no,land,low,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.0782837571484,0.0970479591458,0.444803139526,0.616421253948,0.345556278921,0.107532902808
01/17/2016,6591,6976,6972,6472,4766,2221,1096,1073741824,6787,4450,11626,32905,17,01/17/2016,0.6591,0.6976,0.6972,0.6472,0.4766,0.2221,0.1096,0.0283776811381,0.227433837429,0.517016418397,0.728444003964,0.489014149316,0.188213251576,1000000010001001,cloudy,no,land,average,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.137634639942,0.113898723458,0.231121753971,0.444322870434,0.047113114092,0.015413195368
01/25/2016,6014,6316,5688,6034,5061,2156,1127,1073741824,7107,2613,-6216,32841,9,01/25/2016,0.6014,0.6316,0.5688,0.6034,0.5061,0.2156,0.1127,0.0244931062449,0.0775154004107,0.491029272899,0.697165121591,0.473504273504,0.110310275116,1000000001001001,cloudy,no,land,low,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.196985522736,0.130749487769,0.0174403684172,0.272224486919,-0.251330050736,-0.076706512072
02/02/2016,1291,2181,647,943,3067,3246,1784,1073741824,6391,3096,11864,136,35,02/02/2016,0.1291,0.2181,0.0647,0.0943,0.3067,0.3246,0.1784,0.25633640553,0.147600252081,-0.196241017137,0.100126103405,-0.549773215565,-0.168826219512,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.25633640553,0.147600252081,-0.196241017137,0.100126103405,-0.549773215565,-0.168826219512
02/10/2016,5183,5895,4553,4953,4474,2171,1111,1073741824,6430,4128,-5698,73,43,02/10/2016,0.5183,0.5895,0.4553,0.4953,0.4474,0.2171,0.1111,0.0642715291569,0.138569927212,0.461691048847,0.682843277191,0.390510948905,0.137043109268,0000000001001001,cloudy,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,NA,0.0642715291569,0.138569927212,0.461691048847,0.682843277191,0.390510948905,0.137043109268
02/18/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/26/2016,1601,2451,829,1264,3334,3824,2239,1073741824,5877,4147,-5488,142,59,02/26/2016,0.1601,0.2451,0.0829,0.1264,0.3334,0.3824,0.2239,0.209772951629,0.134158275198,-0.218804780876,0.0452025586354,-0.503144654088,-0.152636127917,0000000010001110,mixed,yes,land,average,none,no cloud,no fire,no,no,no,no,Yes,NA,0.209772951629,0.134158275198,-0.218804780876,0.0452025586354,-0.503144654088,-0.152636127917
03/05/2016,1148,1901,576,884,2788,3173,1868,1073741824,5242,1280,11912,72,69,03/05/2016,0.1148,0.1901,0.0576,0.0884,0.2788,0.3173,0.1868,0.246966218432,0.130105743313,-0.250689791092,0.00875563810029,-0.564210007395,-0.189166133504,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.246966218432,0.130105743313,-0.250689791092,0.00875563810029,-0.564210007395,-0.189166133504
03/13/2016,1356,2250,686,1058,3584,3431,2332,1073741824,4916,1752,-5413,72,80,03/13/2016,0.1356,0.225,0.0686,0.1058,0.3584,0.3431,0.2332,0.247920133111,0.146643921003,-0.207885935575,-0.0178961152335,-0.528625529071,-0.228659581762,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.247920133111,0.146643921003,-0.207885935575,-0.0178961152335,-0.528625529071,-0.228659581762
03/21/2016,1316,2191,628,1026,3061,3628,2215,1073741824,4594,754,-5686,72,87,03/21/2016,0.1316,0.2191,0.0628,0.1026,0.3061,0.3628,0.2215,0.249500998004,0.142257917669,-0.246949647706,-0.00544711756695,-0.559088955737,-0.165651180503,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.249500998004,0.142257917669,-0.246949647706,-0.00544711756695,-0.559088955737,-0.165651180503
