Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
01/01/2005,1730,3157,627,1195,1676,761,426,1073741824,5862,5380,11499,37064,6,01/01/2005,0.173,0.3157,0.0627,0.1195,0.1676,0.0761,0.0426,0.291999181502,0.18941304521,0.611536498213,0.76221043818,0.221881390593,0.306434926547,1001000011001000,clear,no,land,high,none,no cloud,no fire,yes,no,no,yes,No,No,0.291999181502,0.18941304521,0.611536498213,0.76221043818,0.221881390593,0.306434926547
01/09/2005,935,1905,425,694,2756,3070,1711,1073741824,5747,5865,11546,72,13,01/09/2005,0.0935,0.1905,0.0425,0.0694,0.2756,0.307,0.1711,0.341549295775,0.169254929332,-0.234170854271,0.0536504424779,-0.63124335813,-0.182578845741,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.341549295775,0.169254929332,-0.234170854271,0.0536504424779,-0.63124335813,-0.182578845741
01/17/2005,1029,1911,519,767,2787,3162,1828,1073741824,5792,3264,11966,136,17,01/17/2005,0.1029,0.1911,0.0519,0.0767,0.2787,0.3162,0.1828,0.3,0.155363748459,-0.24659964518,0.0221984487831,-0.609569865106,-0.186462324393,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.3,0.155363748459,-0.24659964518,0.0221984487831,-0.609569865106,-0.186462324393
01/25/2005,1049,1977,515,773,2861,3172,1749,1073741824,5646,2264,12135,72,26,01/25/2005,0.1049,0.1977,0.0515,0.0773,0.2861,0.3172,0.1749,0.30667547918,0.161016066905,-0.232083899786,0.061191626409,-0.608111533587,-0.182720132286,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.30667547918,0.161016066905,-0.232083899786,0.061191626409,-0.608111533587,-0.182720132286
02/02/2005,1032,1929,500,761,2993,2884,1726,1073741824,5184,4080,12124,72,40,02/02/2005,0.1032,0.1929,0.05,0.0761,0.2993,0.2884,0.1726,0.302938196555,0.156043420778,-0.198420943279,0.0555403556772,-0.58244170096,-0.216172287688,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.302938196555,0.156043420778,-0.198420943279,0.0555403556772,-0.58244170096,-0.216172287688
02/10/2005,1123,2079,556,834,3011,3370,2010,1073741824,5243,121,-5907,72,44,02/10/2005,0.1123,0.2079,0.0556,0.0834,0.3011,0.337,0.201,0.298563397876,0.163173346078,-0.236924206276,0.0168745414527,-0.603235014272,-0.183104125737,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.298563397876,0.163173346078,-0.236924206276,0.0168745414527,-0.603235014272,-0.183104125737
02/18/2005,1085,2064,558,834,3159,3258,2068,1073741824,4956,1080,12515,72,51,02/18/2005,0.1085,0.2064,0.0558,0.0834,0.3159,0.3258,0.2068,0.310892346777,0.17009521162,-0.224351747463,-0.000968054211036,-0.592375366569,-0.209649626651,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.310892346777,0.17009521162,-0.224351747463,-0.000968054211036,-0.592375366569,-0.209649626651
02/26/2005,1310,2570,650,1001,3575,3832,2257,1073741824,4736,2455,-4935,136,62,02/26/2005,0.131,0.257,0.065,0.1001,0.3575,0.3832,0.2257,0.324742268041,0.202507232401,-0.197125898157,0.06484358815,-0.585764535485,-0.163547599675,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.324742268041,0.202507232401,-0.197125898157,0.06484358815,-0.585764535485,-0.163547599675
03/06/2005,1272,2624,615,982,3987,4039,2466,1073741824,4363,1109,12430,72,67,03/06/2005,0.1272,0.2624,0.0615,0.0982,0.3987,0.4039,0.2466,0.347022587269,0.216064180011,-0.212366801741,0.0310412573674,-0.608842859988,-0.206171532295,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.347022587269,0.216064180011,-0.212366801741,0.0310412573674,-0.608842859988,-0.206171532295
03/14/2005,842,1686,451,678,2685,2745,2134,1073741824,4069,80,-3079,72,76,03/14/2005,0.0842,0.1686,0.0451,0.0678,0.2685,0.2745,0.2134,0.333860759494,0.157987346037,-0.238997968856,-0.117277486911,-0.603856266433,-0.228551818806,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.333860759494,0.157987346037,-0.238997968856,-0.117277486911,-0.603856266433,-0.228551818806
03/22/2005,1432,3025,726,1173,4117,3941,2490,1073741824,3854,3383,-4432,72,87,03/22/2005,0.1432,0.3025,0.0726,0.1173,0.4117,0.3941,0.249,0.357415301772,0.246258966114,-0.131495836922,0.0970081595648,-0.541259288228,-0.152898347802,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.357415301772,0.246258966114,-0.131495836922,0.0970081595648,-0.541259288228,-0.152898347802
03/30/2005,975,2117,493,783,3172,3264,2305,1073741824,3449,52,-6848,72,92,03/30/2005,0.0975,0.2117,0.0493,0.0783,0.3172,0.3264,0.2305,0.369340232859,0.200077087494,-0.213157405687,-0.0425146992311,-0.61304670126,-0.199470599357,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.369340232859,0.200077087494,-0.213157405687,-0.0425146992311,-0.61304670126,-0.199470599357
04/07/2005,916,2334,464,799,3049,3005,1760,1073741824,3080,3283,12834,72,97,04/07/2005,0.0916,0.2334,0.0464,0.0799,0.3049,0.3005,0.176,0.436307692308,0.247038327526,-0.125678966099,0.14020517831,-0.579915878023,-0.132825561954,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.436307692308,0.247038327526,-0.125678966099,0.14020517831,-0.579915878023,-0.132825561954
