Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1/1/16,5985,6216,5990,5911,4147,1280,735,1073741824,7011,3086,11469,37000,3,1/1/16,0.5985,0.6216,0.599,0.5911,0.4147,0.128,0.0735,0.018932874,0.080197195,0.658484525,0.788519637,0.643999444,0.19965261,1.001E+15,clear,no,land,average,none,no cloud,no fire,yes,no,no,yes,No,No,0.018932874,0.080197195,0.658484525,0.788519637,0.643999444,0.19965261
1/9/16,6014,6316,5688,6034,5061,2156,1127,1073741824,7107,2613,-6216,32841,9,1/9/16,0.6014,0.6316,0.5688,0.6034,0.5061,0.2156,0.1127,0.024493106,0.0775154,0.491029273,0.697165122,0.473504274,0.110310275,1E+15,cloudy,no,land,low,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.078283757,0.097047959,0.44480314,0.616421254,0.345556279,0.107532903
1/17/16,6591,6976,6972,6472,4766,2221,1096,1073741824,6787,4450,11626,32905,17,1/17/16,0.6591,0.6976,0.6972,0.6472,0.4766,0.2221,0.1096,0.028377681,0.227433837,0.517016418,0.728444004,0.489014149,0.188213252,1E+15,cloudy,no,land,average,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.13763464,0.113898723,0.231121754,0.44432287,0.047113114,0.015413195
1/25/16,6014,6316,5688,6034,5061,2156,1127,1073741824,7107,2613,-6216,32841,9,1/25/16,0.6014,0.6316,0.5688,0.6034,0.5061,0.2156,0.1127,0.024493106,0.0775154,0.491029273,0.697165122,0.473504274,0.110310275,1E+15,cloudy,no,land,low,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.196985523,0.130749488,0.017440368,0.272224487,-0.251330051,-0.076706512
2/2/16,1291,2181,647,943,3067,3246,1784,1073741824,6391,3096,11864,136,35,2/2/16,0.1291,0.2181,0.0647,0.0943,0.3067,0.3246,0.1784,0.256336406,0.147600252,-0.196241017,0.100126103,-0.549773216,-0.16882622,10001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.256336406,0.147600252,-0.196241017,0.100126103,-0.549773216,-0.16882622
2/10/16,5183,5895,4553,4953,4474,2171,1111,1073741824,6430,4128,-5698,73,43,2/10/16,0.5183,0.5895,0.4553,0.4953,0.4474,0.2171,0.1111,0.064271529,0.138569927,0.461691049,0.682843277,0.390510949,0.137043109,1001001,cloudy,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,NA,0.064271529,0.138569927,0.461691049,0.682843277,0.390510949,0.137043109
2/18/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/26/16,1601,2451,829,1264,3334,3824,2239,1073741824,5877,4147,-5488,142,59,2/26/16,0.1601,0.2451,0.0829,0.1264,0.3334,0.3824,0.2239,0.209772952,0.134158275,-0.218804781,0.045202559,-0.503144654,-0.152636128,10001110,mixed,yes,land,average,none,no cloud,no fire,no,no,no,no,Yes,NA,0.209772952,0.134158275,-0.218804781,0.045202559,-0.503144654,-0.152636128
3/5/16,1148,1901,576,884,2788,3173,1868,1073741824,5242,1280,11912,72,69,3/5/16,0.1148,0.1901,0.0576,0.0884,0.2788,0.3173,0.1868,0.246966218,0.130105743,-0.250689791,0.008755638,-0.564210007,-0.189166134,1001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.246966218,0.130105743,-0.250689791,0.008755638,-0.564210007,-0.189166134
3/13/16,1356,2250,686,1058,3584,3431,2332,1073741824,4916,1752,-5413,72,80,3/13/16,0.1356,0.225,0.0686,0.1058,0.3584,0.3431,0.2332,0.247920133,0.146643921,-0.207885936,-0.017896115,-0.528625529,-0.228659582,1001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.247920133,0.146643921,-0.207885936,-0.017896115,-0.528625529,-0.228659582
3/21/16,1316,2191,628,1026,3061,3628,2215,1073741824,4594,754,-5686,72,87,3/21/16,0.1316,0.2191,0.0628,0.1026,0.3061,0.3628,0.2215,0.249500998,0.142257918,-0.246949648,-0.005447118,-0.559088956,-0.165651181,1001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.249500998,0.142257918,-0.246949648,-0.005447118,-0.559088956,-0.165651181
3/29/16,1515,2648,770,1198,3624,4139,2383,1073741824,4665,5286,-4988,74,93,3/29/16,0.1515,0.2648,0.077,0.1198,0.3624,0.4139,0.2383,0.2721595,0.177441584,-0.219684691,0.052673425,-0.551058647,-0.155612245,1001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.269162691,0.15329246,-0.223978693,0.006801344,-0.559581879,-0.195323408
4/6/16,1225,2220,591,941,3509,3337,2137,1073741824,3995,3040,11998,72,99,4/6/16,0.1225,0.222,0.0591,0.0941,0.3509,0.3337,0.2137,0.288824383,0.164327002,-0.201007738,0.019049805,-0.560074801,-0.224995636,1001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.288824383,0.164327002,-0.201007738,0.019049805,-0.560074801,-0.224995636
4/14/16,1275,2279,639,1031,3578,3425,2313,1073741824,3707,1725,-5171,72,112,4/14/16,0.1275,0.2279,0.0639,0.1031,0.3578,0.3425,0.2313,0.282498593,0.165824332,-0.200911641,-0.007404181,-0.537253142,-0.221785897,1001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.282498593,0.165824332,-0.200911641,-0.007404181,-0.537253142,-0.221785897
4/22/16,1401,2922,718,1176,4452,4118,2575,1073741824,3743,3451,-5026,136,114,4/22/16,0.1401,0.2922,0.0718,0.1176,0.4452,0.4118,0.2575,0.351839001,0.238505927,-0.169886364,0.063125341,-0.555723461,-0.207485761,10001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.351839001,0.238505927,-0.169886364,0.063125341,-0.555723461,-0.207485761
4/30/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
